date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:19:26	1363/1363	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2015%20Aug%202015%2015:19:26%20GMT	http://the-gammons.net/html/Alexander_NRp2.gif	websites/the-gammons.net/the-gammons.net/html/Alexander_NRp2.gif	(from http://the-gammons.net/html/raeper.html)
17:19:26	1267/1267	---M--	200	added ('OK')	image/gif	etag:%224026f145-4f3-444b95276d280%22	http://the-gammons.net/assets/images/autogen/Raeper_Nbanner.gif	websites/the-gammons.net/the-gammons.net/assets/images/autogen/Raeper_Nbanner.gif	(from http://the-gammons.net/html/raeper.html)
17:19:27	342/342	---M--	200	added ('OK')	image/gif	etag:%224026ef17-156-444b950518180%22	http://the-gammons.net/assets/images/autogen/Faull_Hp3.gif	websites/the-gammons.net/the-gammons.net/assets/images/autogen/Faull_Hp3.gif	(from http://the-gammons.net/html/faull.html)
17:19:27	1363/1363	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2015%20Aug%202015%2015:19:27%20GMT	http://the-gammons.net/html/Faull_HRp4.gif	websites/the-gammons.net/the-gammons.net/html/Faull_HRp4.gif	(from http://the-gammons.net/html/faull.html)
17:19:27	17450/17450	---M--	200	added ('OK')	image/jpeg	etag:%2238266af5-442a-444b94596ec80%22	http://the-gammons.net/assets/images/castle_st_turriff_1943.jpg	websites/the-gammons.net/the-gammons.net/assets/images/castle_st_turriff_1943.jpg	(from http://the-gammons.net/html/raeper.html)
17:19:28	19417/19417	---M--	200	added ('OK')	text/html	etag:%22482fa3ff-4bd9-44f91df6a9900%22	http://the-gammons.net/html/john_herbert_william_faull__18.html	websites/the-gammons.net/the-gammons.net/html/john_herbert_william_faull__18.html	(from http://the-gammons.net/html/faull.html)
17:19:28	435/435	---M--	200	added ('OK')	image/gif	etag:%224026ef37-1b3-444b9530f6900%22	http://the-gammons.net/assets/images/autogen/John_Herbert_William_Np1.gif	websites/the-gammons.net/the-gammons.net/assets/images/autogen/John_Herbert_William_Np1.gif	(from http://the-gammons.net/html/faull.html)
17:19:28	1363/1363	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2015%20Aug%202015%2015:19:28%20GMT	http://the-gammons.net/html/John_Herbert_William_NRp2.gif	websites/the-gammons.net/the-gammons.net/html/John_Herbert_William_NRp2.gif	(from http://the-gammons.net/html/faull.html)
17:19:28	942/942	---M--	200	added ('OK')	image/gif	etag:%224026ef19-3ae-444b952679040%22	http://the-gammons.net/assets/images/autogen/Faull_Nbanner.gif	websites/the-gammons.net/the-gammons.net/assets/images/autogen/Faull_Nbanner.gif	(from http://the-gammons.net/html/faull.html)
17:19:29	380/380	---M--	200	added ('OK')	image/gif	etag:%224026ef21-17c-444b950ad0f00%22	http://the-gammons.net/assets/images/autogen/Goodgame_Hp3.gif	websites/the-gammons.net/the-gammons.net/assets/images/autogen/Goodgame_Hp3.gif	(from http://the-gammons.net/html/goodgame.html)
17:19:29	1363/1363	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2015%20Aug%202015%2015:19:29%20GMT	http://the-gammons.net/html/Goodgame_HRp4.gif	websites/the-gammons.net/the-gammons.net/html/Goodgame_HRp4.gif	(from http://the-gammons.net/html/goodgame.html)
17:19:30	19562/19562	---M--	200	added ('OK')	text/html	etag:%22482fa3f9-4c6a-45560e5c5a7c0%22	http://the-gammons.net/html/elsa_ruby_goodgame__1899_.html	websites/the-gammons.net/the-gammons.net/html/elsa_ruby_goodgame__1899_.html	(from http://the-gammons.net/html/goodgame.html)
